========== FOREX ARBITRAGE DETECTOR (OPENMP) ==========

Threads: 8 (max available 8)
Currencies: AUD CAD EUR GBP JPY SGD USD
Pairs: 19

Loaded 86400 aligned timestamps across 19 pairs.

====== SINGLE TIMESTAMP ANALYSIS ======
t0 currencies=7 edges=38
No arbitrage at first timestamp.

====== TIME SERIES ANALYSIS ======

===== ARBITRAGE OPPORTUNITIES (680) =====
ts=4228000 profit=0.000766%  cycle=USD->CAD->AUD->JPY->USD
ts=43614000 profit=0.003658%  cycle=GBP->USD->CAD->GBP
ts=44413000 profit=0.005529%  cycle=CAD->GBP->USD->CAD
ts=45001000 profit=0.006805%  cycle=JPY->SGD->USD->JPY
ts=45224000 profit=0.001311%  cycle=EUR->JPY->USD->EUR
ts=46710000 profit=0.000071%  cycle=USD->EUR->JPY->USD
ts=46813000 profit=0.000652%  cycle=EUR->USD->JPY->EUR
ts=47279000 profit=0.001644%  cycle=GBP->USD->EUR->GBP
ts=49141000 profit=0.001654%  cycle=JPY->USD->CAD->JPY
ts=50343000 profit=0.003105%  cycle=JPY->USD->CAD->JPY
ts=52140000 profit=0.000882%  cycle=JPY->USD->CAD->JPY
ts=52737000 profit=0.000286%  cycle=EUR->GBP->USD->EUR
ts=57372000 profit=0.002850%  cycle=GBP->JPY->USD->GBP
ts=57373000 profit=0.007772%  cycle=SGD->JPY->USD->SGD
ts=57377000 profit=0.003649%  cycle=GBP->JPY->USD->GBP
ts=57380000 profit=0.002395%  cycle=USD->JPY->EUR->USD
ts=57387000 profit=0.003088%  cycle=JPY->USD->SGD->JPY
ts=64702000 profit=0.000789%  cycle=EUR->JPY->USD->EUR
ts=79201000 profit=0.006437%  cycle=JPY->USD->CAD->JPY
ts=79202000 profit=0.001811%  cycle=EUR->USD->CAD->EUR
ts=79542000 profit=0.013305%  cycle=EUR->USD->CAD->EUR
ts=79973000 profit=0.002312%  cycle=EUR->USD->CAD->EUR
ts=81066000 profit=0.001274%  cycle=JPY->USD->CAD->JPY
ts=81103000 profit=0.002421%  cycle=JPY->USD->CAD->JPY
ts=81499000 profit=0.000254%  cycle=JPY->USD->CAD->JPY
ts=82468000 profit=0.000705%  cycle=JPY->USD->CAD->JPY
ts=83545000 profit=0.000655%  cycle=JPY->USD->CAD->JPY
ts=83560000 profit=0.001044%  cycle=USD->CAD->JPY->SGD->USD
ts=83561000 profit=0.001044%  cycle=USD->CAD->JPY->SGD->USD
ts=83564000 profit=0.000093%  cycle=USD->CAD->JPY->SGD->USD
ts=83565000 profit=0.001044%  cycle=USD->CAD->JPY->SGD->USD
ts=83576000 profit=0.000077%  cycle=USD->CAD->JPY->SGD->USD
ts=83580000 profit=0.000270%  cycle=USD->CAD->JPY->SGD->USD
ts=83581000 profit=0.000270%  cycle=USD->CAD->JPY->SGD->USD
ts=83585000 profit=0.001162%  cycle=JPY->SGD->USD->CAD->JPY
ts=83603000 profit=0.000097%  cycle=USD->CAD->JPY->SGD->USD
ts=83604000 profit=0.001048%  cycle=JPY->SGD->USD->CAD->JPY
ts=83605000 profit=0.001048%  cycle=JPY->SGD->USD->CAD->JPY
ts=83606000 profit=0.000302%  cycle=USD->CAD->JPY->SGD->USD
ts=83607000 profit=0.000302%  cycle=USD->CAD->JPY->SGD->USD
ts=83608000 profit=0.000302%  cycle=USD->CAD->JPY->SGD->USD
ts=83626000 profit=0.000361%  cycle=USD->CAD->JPY->SGD->USD
ts=83627000 profit=0.000361%  cycle=USD->CAD->JPY->SGD->USD
ts=83628000 profit=0.000361%  cycle=USD->CAD->JPY->SGD->USD
ts=83629000 profit=0.000361%  cycle=USD->CAD->JPY->SGD->USD
ts=83630000 profit=0.001107%  cycle=USD->CAD->JPY->SGD->USD
ts=83631000 profit=0.000855%  cycle=USD->CAD->JPY->SGD->USD
ts=83632000 profit=0.000855%  cycle=USD->CAD->JPY->SGD->USD
ts=83633000 profit=0.000855%  cycle=USD->CAD->JPY->SGD->USD
ts=83634000 profit=0.000855%  cycle=USD->CAD->JPY->SGD->USD
ts=83635000 profit=0.001387%  cycle=SGD->USD->CAD->JPY->SGD
ts=83636000 profit=0.003485%  cycle=JPY->SGD->USD->CAD->JPY
ts=83637000 profit=0.001387%  cycle=SGD->USD->CAD->JPY->SGD
ts=83638000 profit=0.001890%  cycle=JPY->SGD->USD->JPY
ts=83639000 profit=0.001890%  cycle=JPY->SGD->USD->JPY
ts=83640000 profit=0.000560%  cycle=JPY->SGD->USD->JPY
ts=83641000 profit=0.001225%  cycle=JPY->SGD->USD->JPY
ts=83642000 profit=0.001502%  cycle=USD->CAD->JPY->SGD->USD
ts=83643000 profit=0.000803%  cycle=USD->CAD->JPY->SGD->USD
ts=83644000 profit=0.000803%  cycle=USD->CAD->JPY->SGD->USD
ts=83645000 profit=0.002661%  cycle=USD->JPY->SGD->USD
ts=83646000 profit=0.004153%  cycle=USD->JPY->SGD->USD
ts=83647000 profit=0.001623%  cycle=JPY->SGD->USD->JPY
ts=83648000 profit=0.001119%  cycle=JPY->SGD->USD->JPY
ts=83649000 profit=0.002011%  cycle=JPY->SGD->USD->JPY
ts=83650000 profit=0.002011%  cycle=JPY->SGD->USD->JPY
